trade_id,isin,quantity,price,currency,settlement_date,transaction_type,account_id,fund_id,opening_quantity,closing_quantity,net_quantity,status,market_value,dr_cr
TRD001,GB00B0YTLJ59,10000,4.52,GBP,2024-01-15,BUY,ACC001,FUND_A,100000,110000,10000,SETTLED,45200.00,DR
TRD002,US0378331005,5000,182.50,USD,2024-01-15,BUY,ACC001,FUND_A,50000,55000,5000,SETTLED,912500.00,DR
TRD003,DE0005140008,20000,10.23,EUR,2024-01-15,BUY,ACC002,FUND_B,200000,220000,20000,SETTLED,204600.00,DR
TRD004,FR0000131104,8000,65.40,EUR,2024-01-15,SELL,ACC002,FUND_B,80000,72000,-8000,SETTLED,523200.00,CR
TRD005,NL0010273215,15000,22.15,EUR,2024-01-15,BUY,ACC003,FUND_C,150000,165000,15000,SETTLED,332250.00,DR
TRD006,GB00B1YW4409,25000,8.75,GBP,2024-01-15,BUY,ACC001,FUND_A,250000,275000,25000,SETTLED,218750.00,DR
TRD007,US5949181045,12000,95.30,USD,2024-01-15,BUY,ACC001,FUND_A,120000,132000,12000,SETTLED,1143600.00,DR
TRD008,DE000BAY0017,7500,55.60,EUR,2024-01-15,BUY,ACC002,FUND_B,75000,82500,7500,SETTLED,417000.00,DR
TRD009,CH0012221716,3000,420.00,CHF,2024-01-15,BUY,ACC003,FUND_C,30000,33000,3000,SETTLED,1260000.00,DR
TRD010,IT0003128367,9500,3.85,EUR,2024-01-15,BUY,ACC002,FUND_B,95000,104500,9500,SETTLED,36575.00,DR
TRD011,ES0113211835,4200,6.12,EUR,2024-01-15,SELL,ACC003,FUND_C,42000,37800,-4200,SETTLED,25704.00,CR
TRD012,JP3633400001,50000,2.45,JPY,2024-01-15,BUY,ACC001,FUND_A,500000,550000,50000,SETTLED,122500.00,DR
TRD013,US88160R1014,1000,245.67,USD,2024-01-15,BUY,ACC002,FUND_B,10000,11000,1000,SETTLED,245670.00,DR
TRD014,GB00BH4HKS39,30000,15.80,GBP,2024-01-15,BUY,ACC003,FUND_C,300000,330000,30000,SETTLED,474000.00,DR
TRD015,US4592001014,6000,42.30,USD,2024-01-15,BUY,ACC001,FUND_A,60000,66000,6000,SETTLED,253800.00,DR
TRD016,US4592001014,10000,42.30,USD,2024-01-15,BUY,ACC001,FUND_A,100000,110000,10000,SETTLED,423000.00,DR
TRD017,DE0005552004,3000,88.50,EUR,2024-01-15,BUY,ACC002,FUND_B,30000,33000,3000,SETTLED,265500.00,DR
TRD018,DE0005552004,7000,88.50,EUR,2024-01-15,BUY,ACC002,FUND_B,70000,77000,7000,SETTLED,619500.00,DR
TRD019,LU0323578657,22000,5.60,EUR,2024-01-15,BUY,ACC003,FUND_C,220000,242000,22000,SETTLED,123200.00,DR
TRD001,GB00B0YTLJ59,10000,4.52,GBP,2024-01-15,BUY,ACC001,FUND_A,100000,110000,10000,SETTLED,45200.00,DR
TRD021,IE00B4L5Y983,11000,75.20,EUR,2024-01-15,BUY,ACC001,FUND_A,110000,121000,11000,SETTLED,827200.00,DR
TRD022,XS0149080666,500,33000.00,EUR,2024-01-15,BUY,ACC002,FUND_B,5000,5500,500,SETTLED,16500000.00,DR
TRD023,GB00B3X7QG63,0,125.00,GBP,2024-01-15,BUY,ACC003,FUND_C,0,0,0,SETTLED,0.00,DR
TRD024,GB00B0YTLJ59,5000,4.52,GBP,2024-01-10,BUY,ACC001,FUND_A,50000,55000,5000,SETTLED,22600.00,DR
TRD025,US0231351067,0,50.00,USD,2024-01-15,BUY,ACC001,FUND_A,0,0,0,SETTLED,0.00,DR
